away,home,start_dt,away_score,home_score,over_under
Houston Astros,Los Angeles Angels,2013-04-12 21:05:00-04:00,5,0,8.0
Atlanta Braves,Washington Nationals,2013-04-12 18:05:00-04:00,6,4,8.5
Milwaukee Brewers,St. Louis Cardinals,2013-04-12 19:15:00-04:00,0,2,7.5
Colorado Rockies,San Diego Padres,2013-04-12 21:10:00-04:00,7,5,7.5
Chicago White Sox,Cleveland Indians,2013-04-12 18:05:00-04:00,0,1,7.5
New York Mets,Minnesota Twins,2013-04-12 19:10:00-04:00,16,5,7.5
Atlanta Braves,Washington Nationals,2013-04-13 12:05:00-04:00,3,1,7.0
Los Angeles Dodgers,Arizona Diamondbacks,2013-04-13 19:10:00-04:00,7,5,8.5
Baltimore Orioles,New York Yankees,2013-04-13 15:05:00-04:00,5,3,9.0
Houston Astros,Los Angeles Angels,2013-04-13 20:05:00-04:00,4,5,8.5
Milwaukee Brewers,St. Louis Cardinals,2013-04-13 15:15:00-04:00,0,8,7.5
Tampa Bay Rays,Boston Red Sox,2013-04-13 12:05:00-04:00,1,2,8.0
Toronto Blue Jays,Kansas City Royals,2013-04-13 18:10:00-04:00,3,2,7.5
Atlanta Braves,Washington Nationals,2013-04-14 12:35:00-04:00,9,0,7.0
Milwaukee Brewers,St. Louis Cardinals,2013-04-14 13:15:00-04:00,4,3,8.0
Colorado Rockies,San Diego Padres,2013-04-14 15:10:00-04:00,2,1,8.0
Tampa Bay Rays,Boston Red Sox,2013-04-14 12:35:00-04:00,0,5,8.5
Houston Astros,Los Angeles Angels,2013-04-14 14:35:00-04:00,1,4,8.0
Los Angeles Dodgers,Arizona Diamondbacks,2013-04-14 15:10:00-04:00,0,1,9.0
Toronto Blue Jays,Kansas City Royals,2013-04-14 13:10:00-04:00,2,3,8.5
Baltimore Orioles,New York Yankees,2013-04-14 19:05:00-04:00,0,3,8.5
Chicago White Sox,Toronto Blue Jays,2013-04-15 18:05:00-04:00,3,4,8.75
Houston Astros,Oakland Athletics,2013-04-15 21:05:00-04:00,2,11,7.0
San Diego Padres,Los Angeles Dodgers,2013-04-15 21:10:00-04:00,6,3,6.5
Tampa Bay Rays,Boston Red Sox,2013-04-15 10:05:00-04:00,2,3,8.5
San Francisco Giants,Milwaukee Brewers,2013-04-16 19:10:00-04:00,8,10,8.5
San Diego Padres,Los Angeles Dodgers,2013-04-16 21:10:00-04:00,9,2,7.0
Chicago White Sox,Toronto Blue Jays,2013-04-16 18:05:00-04:00,4,3,9.0
Tampa Bay Rays,Baltimore Orioles,2013-04-16 18:05:00-04:00,4,5,9.0
Houston Astros,Oakland Athletics,2013-04-16 21:05:00-04:00,3,4,7.5
Kansas City Royals,Atlanta Braves,2013-04-16 18:10:00-04:00,3,6,7.0
Philadelphia Phillies,Cincinnati Reds,2013-04-16 18:10:00-04:00,0,0,8.0
New York Mets,Colorado Rockies,2013-04-16 19:40:00-04:00,8,9,10.5
Arizona Diamondbacks,New York Yankees,2013-04-16 18:05:00-04:00,2,4,9.0
New York Mets,Colorado Rockies,2013-04-16 14:10:00-04:00,4,8,10.0
Philadelphia Phillies,Cincinnati Reds,2013-04-17 18:10:00-04:00,2,11,8.5
San Francisco Giants,Milwaukee Brewers,2013-04-17 19:10:00-04:00,3,4,8.5
San Diego Padres,Los Angeles Dodgers,2013-04-17 21:10:00-04:00,7,2,6.5
Houston Astros,Oakland Athletics,2013-04-17 14:35:00-04:00,5,7,8.0
Boston Red Sox,Cleveland Indians,2013-04-17 18:05:00-04:00,6,3,8.0
Arizona Diamondbacks,New York Yankees,2013-04-17 18:05:00-04:00,3,4,7.5
Chicago White Sox,Toronto Blue Jays,2013-04-17 18:05:00-04:00,7,0,8.5
Kansas City Royals,Atlanta Braves,2013-04-17 11:10:00-04:00,1,0,7.5
New York Mets,Colorado Rockies,2013-04-18 14:10:00-04:00,3,11,9.5
Miami Marlins,Cincinnati Reds,2013-04-18 18:10:00-04:00,1,11,7.5
Washington Nationals,New York Mets,2013-04-19 18:10:00-04:00,1,7,6.5
Arizona Diamondbacks,Colorado Rockies,2013-04-19 19:40:00-04:00,1,3,9.5
Seattle Mariners,Texas Rangers,2013-04-19 19:05:00-04:00,0,7,8.0
Miami Marlins,Cincinnati Reds,2013-04-19 18:10:00-04:00,2,1,7.5
Chicago Cubs,Milwaukee Brewers,2013-04-19 19:10:00-04:00,4,5,7.5
San Diego Padres,San Francisco Giants,2013-04-19 21:15:00-04:00,2,3,7.0
New York Yankees,Toronto Blue Jays,2013-04-19 18:05:00-04:00,9,4,8.0
Oakland Athletics,Tampa Bay Rays,2013-04-19 18:10:00-04:00,3,8,7.5
Arizona Diamondbacks,Colorado Rockies,2013-04-20 19:10:00-04:00,3,4,9.5
Kansas City Royals,Boston Red Sox,2013-04-20 12:10:00-04:00,3,4,8.0
Detroit Tigers,Los Angeles Angels,2013-04-20 14:05:00-04:00,0,10,9.0
Miami Marlins,Cincinnati Reds,2013-04-20 12:10:00-04:00,2,3,8.0
St. Louis Cardinals,Philadelphia Phillies,2013-04-20 18:05:00-04:00,5,0,7.5
Chicago Cubs,Milwaukee Brewers,2013-04-20 18:10:00-04:00,1,5,8.5
San Diego Padres,San Francisco Giants,2013-04-20 20:05:00-04:00,0,2,7.5
New York Yankees,Toronto Blue Jays,2013-04-20 12:05:00-04:00,5,3,8.5
Minnesota Twins,Chicago White Sox,2013-04-20 14:05:00-04:00,2,1,8.5
Oakland Athletics,Tampa Bay Rays,2013-04-20 18:10:00-04:00,0,1,8.0
Seattle Mariners,Texas Rangers,2013-04-20 19:05:00-04:00,0,5,9.5
Los Angeles Dodgers,Baltimore Orioles,2013-04-20 18:05:00-04:00,1,6,8.0
Los Angeles Dodgers,Baltimore Orioles,2013-04-20 12:05:00-04:00,5,7,8.5
Miami Marlins,Cincinnati Reds,2013-04-21 12:10:00-04:00,6,10,8.0
Chicago Cubs,Milwaukee Brewers,2013-04-21 13:10:00-04:00,2,4,8.5
Arizona Diamondbacks,Colorado Rockies,2013-04-21 15:10:00-04:00,5,4,10.0
Kansas City Royals,Boston Red Sox,2013-04-21 12:35:00-04:00,4,2,8.0
Seattle Mariners,Texas Rangers,2013-04-21 14:05:00-04:00,3,11,9.5
San Diego Padres,San Francisco Giants,2013-04-21 15:05:00-04:00,0,5,7.5
St. Louis Cardinals,Philadelphia Phillies,2013-04-21 19:05:00-04:00,3,7,8.0
New York Yankees,Toronto Blue Jays,2013-04-21 12:05:00-04:00,4,8,8.5
Oakland Athletics,Tampa Bay Rays,2013-04-21 12:40:00-04:00,1,8,8.0
Minnesota Twins,Chicago White Sox,2013-04-21 13:10:00-04:00,5,3,8.0
Detroit Tigers,Los Angeles Angels,2013-04-21 14:35:00-04:00,3,4,8.0
Los Angeles Dodgers,Baltimore Orioles,2013-04-21 12:35:00-04:00,7,4,8.75
Kansas City Royals,Boston Red Sox,2013-04-21 18:10:00-04:00,5,4,8.0
St. Louis Cardinals,Washington Nationals,2013-04-24 12:05:00-04:00,4,2,7.0
Arizona Diamondbacks,San Francisco Giants,2013-04-24 14:45:00-04:00,3,2,6.5
Los Angeles Dodgers,New York Mets,2013-04-24 18:10:00-04:00,3,7,7.0
Cleveland Indians,Chicago White Sox,2013-04-24 13:10:00-04:00,2,3,7.5
Oakland Athletics,Boston Red Sox,2013-04-24 15:05:00-04:00,5,6,8.0
New York Yankees,Tampa Bay Rays,2013-04-24 18:10:00-04:00,0,3,7.0
Chicago Cubs,Cincinnati Reds,2013-04-24 11:35:00-04:00,0,1,7.0
Pittsburgh Pirates,Philadelphia Phillies,2013-04-24 18:05:00-04:00,5,3,7.0
Seattle Mariners,Houston Astros,2013-04-24 13:10:00-04:00,3,10,8.0
Kansas City Royals,Detroit Tigers,2013-04-24 18:05:00-04:00,5,7,7.5
Houston Astros,Boston Red Sox,2013-04-25 17:30:00-04:00,2,7,9.0
Tampa Bay Rays,Chicago White Sox,2013-04-25 19:10:00-04:00,2,5,7.0
Baltimore Orioles,Oakland Athletics,2013-04-25 21:05:00-04:00,10,2,7.5
Pittsburgh Pirates,Philadelphia Phillies,2013-04-25 12:05:00-04:00,6,4,7.0
Cincinnati Reds,Washington Nationals,2013-04-25 18:05:00-04:00,1,8,7.5
Colorado Rockies,Arizona Diamondbacks,2013-04-25 20:40:00-04:00,2,3,9.0
Kansas City Royals,Detroit Tigers,2013-04-25 12:05:00-04:00,8,3,6.5
Toronto Blue Jays,New York Yankees,2013-04-25 18:05:00-04:00,3,5,8.0
Chicago Cubs,Miami Marlins,2013-04-26 18:10:00-04:00,4,2,7.5
Pittsburgh Pirates,St. Louis Cardinals,2013-04-26 19:15:00-04:00,1,9,8.0
Milwaukee Brewers,Los Angeles Dodgers,2013-04-26 21:10:00-04:00,5,7,7.0
Houston Astros,Boston Red Sox,2013-04-26 18:10:00-04:00,3,7,8.5
Tampa Bay Rays,Chicago White Sox,2013-04-26 19:10:00-04:00,4,5,7.5
Baltimore Orioles,Oakland Athletics,2013-04-26 21:05:00-04:00,3,0,7.5
Cincinnati Reds,Washington Nationals,2013-04-26 18:05:00-04:00,0,1,7.0
Philadelphia Phillies,New York Mets,2013-04-26 18:10:00-04:00,4,0,7.5
Colorado Rockies,Arizona Diamondbacks,2013-04-26 20:40:00-04:00,6,3,9.0
San Francisco Giants,San Diego Padres,2013-04-26 21:10:00-04:00,1,2,7.0
Toronto Blue Jays,New York Yankees,2013-04-26 18:05:00-04:00,4,6,9.0
Atlanta Braves,Detroit Tigers,2013-04-26 18:05:00-04:00,0,10,7.5
Pittsburgh Pirates,St. Louis Cardinals,2013-04-28 13:15:00-04:00,9,0,7.5
Houston Astros,Boston Red Sox,2013-04-28 12:35:00-04:00,1,6,9.5
Baltimore Orioles,Oakland Athletics,2013-04-28 15:05:00-04:00,8,9,8.0
Cincinnati Reds,Washington Nationals,2013-04-28 12:35:00-04:00,5,2,7.0
Milwaukee Brewers,Los Angeles Dodgers,2013-04-28 15:10:00-04:00,0,2,6.5
Colorado Rockies,Arizona Diamondbacks,2013-04-28 15:10:00-04:00,2,4,9.0
Cleveland Indians,Kansas City Royals,2013-04-28 13:10:00-04:00,0,9,8.5
Los Angeles Angels,Seattle Mariners,2013-04-28 15:10:00-04:00,1,2,7.0
Atlanta Braves,Detroit Tigers,2013-04-28 19:05:00-04:00,3,8,7.5
Cleveland Indians,Kansas City Royals,2013-04-28 19:10:00-04:00,10,3,9.0
Pittsburgh Pirates,Milwaukee Brewers,2013-04-29 19:10:00-04:00,4,10,8.0
San Francisco Giants,Arizona Diamondbacks,2013-04-29 20:40:00-04:00,6,4,8.5
Minnesota Twins,Detroit Tigers,2013-04-29 18:05:00-04:00,3,4,8.5
Los Angeles Angels,Oakland Athletics,2013-04-29 21:05:00-04:00,8,10,8.5
San Diego Padres,Chicago Cubs,2013-04-29 19:05:00-04:00,3,5,9.0
Cincinnati Reds,St. Louis Cardinals,2013-04-29 19:15:00-04:00,2,1,7.0
Colorado Rockies,Los Angeles Dodgers,2013-04-29 21:10:00-04:00,12,2,7.5
Houston Astros,New York Yankees,2013-04-29 18:05:00-04:00,9,1,7.5
Cleveland Indians,Kansas City Royals,2013-04-29 19:10:00-04:00,9,0,9.0
Washington Nationals,Atlanta Braves,2013-04-30 18:10:00-04:00,1,8,7.0
Pittsburgh Pirates,Milwaukee Brewers,2013-04-30 19:10:00-04:00,8,12,8.0
Minnesota Twins,Detroit Tigers,2013-04-30 18:05:00-04:00,1,6,8.0
Chicago White Sox,Texas Rangers,2013-04-30 19:05:00-04:00,6,10,8.0
Los Angeles Angels,Oakland Athletics,2013-04-30 21:05:00-04:00,6,10,8.5
San Diego Padres,Chicago Cubs,2013-04-30 19:05:00-04:00,13,7,10.5
Cincinnati Reds,St. Louis Cardinals,2013-04-30 19:15:00-04:00,1,2,7.5
Colorado Rockies,Los Angeles Dodgers,2013-04-30 21:10:00-04:00,2,6,7.0
Houston Astros,New York Yankees,2013-04-30 18:05:00-04:00,4,7,8.0
Tampa Bay Rays,Kansas City Royals,2013-04-30 19:10:00-04:00,2,8,7.5
Miami Marlins,Philadelphia Phillies,2013-05-02 18:05:00-04:00,2,7,7.5
St. Louis Cardinals,Milwaukee Brewers,2013-05-02 19:10:00-04:00,6,5,8.5
Chicago White Sox,Texas Rangers,2013-05-02 19:05:00-04:00,3,1,8.5
Baltimore Orioles,Los Angeles Angels,2013-05-02 21:05:00-04:00,5,1,9.0
San Diego Padres,Chicago Cubs,2013-05-02 13:20:00-04:00,4,2,7.5
Washington Nationals,Atlanta Braves,2013-05-02 18:10:00-04:00,3,1,7.5
New York Mets,Atlanta Braves,2013-05-05 12:35:00-04:00,4,9,7.5
Minnesota Twins,Cleveland Indians,2013-05-05 12:05:00-04:00,4,2,9.0
Chicago White Sox,Kansas City Royals,2013-05-05 13:10:00-04:00,5,6,7.5
Baltimore Orioles,Los Angeles Angels,2013-05-05 14:35:00-04:00,8,4,8.0
Washington Nationals,Pittsburgh Pirates,2013-05-05 12:35:00-04:00,6,2,7.0
St. Louis Cardinals,Milwaukee Brewers,2013-05-05 13:10:00-04:00,10,1,8.5
Miami Marlins,Philadelphia Phillies,2013-05-05 13:35:00-04:00,14,2,7.0
Los Angeles Dodgers,San Francisco Giants,2013-05-05 19:05:00-04:00,3,4,7.0
Oakland Athletics,New York Yankees,2013-05-05 12:05:00-04:00,5,4,8.0
Seattle Mariners,Toronto Blue Jays,2013-05-05 12:05:00-04:00,2,10,9.0
Boston Red Sox,Texas Rangers,2013-05-05 14:05:00-04:00,3,4,7.5
Tampa Bay Rays,Colorado Rockies,2013-05-05 15:10:00-04:00,8,3,9.5
Philadelphia Phillies,San Francisco Giants,2013-05-08 14:45:00-04:00,3,4,7.5
Kansas City Royals,Baltimore Orioles,2013-05-08 18:05:00-04:00,3,5,8.5
Toronto Blue Jays,Tampa Bay Rays,2013-05-08 18:10:00-04:00,4,10,8.0
Texas Rangers,Milwaukee Brewers,2013-05-08 19:10:00-04:00,4,1,8.0
Atlanta Braves,Cincinnati Reds,2013-05-08 11:35:00-04:00,7,2,8.0
Miami Marlins,San Diego Padres,2013-05-08 14:40:00-04:00,0,1,7.0
Arizona Diamondbacks,Los Angeles Dodgers,2013-05-08 21:10:00-04:00,3,2,6.0
Oakland Athletics,Cleveland Indians,2013-05-08 18:05:00-04:00,3,4,8.5
Minnesota Twins,Boston Red Sox,2013-05-08 18:10:00-04:00,15,8,9.5
Seattle Mariners,Pittsburgh Pirates,2013-05-08 11:35:00-04:00,2,1,6.5
New York Yankees,Colorado Rockies,2013-05-08 19:40:00-04:00,3,2,10.0
Philadelphia Phillies,Arizona Diamondbacks,2013-05-09 20:40:00-04:00,1,2,7.5
Kansas City Royals,Baltimore Orioles,2013-05-09 18:05:00-04:00,6,2,8.5
Toronto Blue Jays,Tampa Bay Rays,2013-05-09 18:10:00-04:00,4,5,7.0
Pittsburgh Pirates,New York Mets,2013-05-09 18:10:00-04:00,2,3,8.0
Atlanta Braves,San Francisco Giants,2013-05-09 21:15:00-04:00,6,3,7.5
Minnesota Twins,Boston Red Sox,2013-05-09 18:10:00-04:00,5,3,9.5
Colorado Rockies,St. Louis Cardinals,2013-05-10 19:15:00-04:00,0,3,7.5
Miami Marlins,Los Angeles Dodgers,2013-05-10 21:10:00-04:00,5,4,7.0
Toronto Blue Jays,Boston Red Sox,2013-05-10 18:10:00-04:00,0,5,9.5
New York Yankees,Kansas City Royals,2013-05-10 19:10:00-04:00,11,6,8.0
Chicago Cubs,Washington Nationals,2013-05-10 18:05:00-04:00,3,7,7.5
Milwaukee Brewers,Cincinnati Reds,2013-05-10 18:10:00-04:00,3,4,7.5
Philadelphia Phillies,Arizona Diamondbacks,2013-05-10 20:40:00-04:00,2,3,9.5
