away,home,start_dt,away_score,home_score,over_under,game_id,year,minute,total,over_hit,under_hit,push,city,humidity_0,humidity_1,humidity_2,humidity_3,humidity_4,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,weather_0,weather_1,weather_2,weather_3,weather_4,wind_dir_0,wind_dir_1,wind_dir_2,wind_dir_3,wind_dir_4,wind_spd_0,wind_spd_1,wind_spd_2,wind_spd_3,wind_spd_4
Oakland Athletics,Boston Red Sox,2013-04-24T19:05:00Z,5,6,8,223,2013,5,11,TRUE,FALSE,FALSE,Boston,100,100,100,100,100,278.58,278.58,278.54,278.45,278.42,light rain,mist,mist,light rain,light rain,40,40,20,20,30,4,4,5,4,4
Houston Astros,Boston Red Sox,2013-04-25T21:30:00Z,2,7,9,230,2013,30,9,FALSE,FALSE,TRUE,Boston,77,77,82,82,82,293.69,291.71,289.4,287.61,286.19,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,190,200,200,200,210,6,7,8,8,8
Houston Astros,Boston Red Sox,2013-04-26T22:10:00Z,3,7,8.5,240,2013,10,10,TRUE,FALSE,FALSE,Boston,58,62,71,66,66,290,288.61,286.32,284.33,282.28,broken clouds,sky is clear,sky is clear,sky is clear,sky is clear,60,50,70,50,50,3,4,3,2,1
Houston Astros,Boston Red Sox,2013-04-28T16:35:00Z,1,6,9.5,249,2013,35,7,FALSE,TRUE,FALSE,Boston,42,34,36,36,36,289.16,289.51,289.76,289.78,289.49,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,50,30,50,50,60,4,4,4,4,5
San Diego Padres,Chicago Cubs,2013-04-29T23:05:00Z,3,5,9,260,2013,5,8,FALSE,TRUE,FALSE,Chicago,82,74,78,93,84,288.91,287.99,286.96,285.68,285.02,fog,sky is clear,sky is clear,fog,sky is clear,10,108,0,0,0,2,2,0,0,0
San Diego Padres,Chicago Cubs,2013-04-30T23:05:00Z,13,7,10.5,271,2013,5,20,TRUE,FALSE,FALSE,Chicago,55,58,65,69,59,295.9,295.06,294.31,293.41,292.23,broken clouds,overcast clouds,overcast clouds,overcast clouds,broken clouds,182,188,170,175,170,5,5,5,5,7
San Diego Padres,Chicago Cubs,2013-05-02T17:20:00Z,4,2,7.5,277,2013,20,6,FALSE,TRUE,FALSE,Chicago,41,39,38,39,36,300.08,300.88,301.03,301.36,301.46,scattered clouds,few clouds,few clouds,few clouds,few clouds,175,154,197,210,182,3,3,6,5,3
Minnesota Twins,Boston Red Sox,2013-05-08T22:10:00Z,15,8,9.5,301,2013,10,23,TRUE,FALSE,FALSE,Boston,68,82,82,77,87,295.48,294.18,293.11,291.59,290.53,overcast clouds,light intensity drizzle,light rain,scattered clouds,sky is clear,200,220,0,190,170,7,6,0,3,2
Minnesota Twins,Boston Red Sox,2013-05-09T22:10:00Z,5,3,9.5,307,2013,10,8,FALSE,TRUE,FALSE,Boston,60,64,72,77,77,291.37,290.77,289.91,289.56,289.01,sky is clear,mist,light rain,broken clouds,scattered clouds,180,210,210,190,190,7,6,5,5,5
Toronto Blue Jays,Boston Red Sox,2013-05-10T22:10:00Z,0,5,9.5,316,2013,10,5,FALSE,TRUE,FALSE,Boston,93,93,93,100,100,288.98,288.1,287.7,287.34,287.17,mist,mist,light rain,overcast clouds,overcast clouds,30,30,10,20,0,3,1,1,2,0
